activity_key,display_name,group,scope,ghg_category,category_name,default_unit,allowed_units,gases,factor_source,notes
fuel.coal.anthracite,Coal — anthracite,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",DESNZ,
fuel.coal.bituminous,Coal — bituminous,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",DESNZ,
fuel.coal.sub_bituminous,Coal — sub-bituminous,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.coal.lignite,Coal — lignite / brown coal,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.coal.coking,Coal — coking / metallurgical,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,"If used as a reductant not a fuel, route to process emissions 1.3"
fuel.coal.indian_domestic,Coal — Indian domestic (grade-specified),Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,Ask for GCV band; Indian coal has high ash and low GCV — do not use imported-coal factors
fuel.coal.imported_steam,Coal — imported steam coal,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",DESNZ,
fuel.coke.metallurgical,Coke — metallurgical,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,
fuel.coke.petroleum,Petroleum coke (petcoke),Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",DESNZ,
fuel.charcoal,Charcoal,Solid fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",IPCC 2006 Vol.2,"CO2 is biogenic — memo item, outside scopes"
fuel.biomass.wood_chips,Wood chips,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.wood_pellets,Wood pellets,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.wood_logs,Wood logs,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.briquettes,Biomass briquettes,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.bagasse,Bagasse,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.rice_husk,Rice husk,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.groundnut_shell,Groundnut shell,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.mustard_husk,Mustard husk,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.coconut_shell,Coconut shell,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.sawdust,Sawdust,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.biomass.agri_residue,Agricultural residue — other,Biomass,1,1.1,Stationary combustion,t,kg|t|lb,"CH4,N2O",DESNZ,BIOGENIC CO2 calculated but reported OUTSIDE scopes as memo; only CH4 and N2O enter Scope 1
fuel.msw,Municipal solid waste (as fuel),Waste-derived fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,Split fossil vs biogenic carbon fraction
fuel.rdf,Refuse-derived fuel (RDF),Waste-derived fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,Split fossil vs biogenic fraction
fuel.tyre_derived,Tyre-derived fuel,Waste-derived fuel,1,1.1,Stationary combustion,t,kg|t|lb,"CO2,CH4,N2O",IPCC 2006 Vol.2,
