material_key,display_name,family,production_route,route_label,declared_unit,system_boundary,allocation_method_expected,tier_target,primary_source,india_specific_source,status,notes
pcf.chem.ammonia.smr,Ammonia — steam methane reforming,chemicals,smr,SMR (natural gas),kg,cradle_to_gate,subdivision,A,EPD International; IFA benchmarking,FAI (Fertiliser Association of India),TO_INGEST,Dominant global route. Never present as the generic ammonia value.
pcf.chem.ammonia.coal_gasification,Ammonia — coal gasification,chemicals,coal_gasification,Coal gasification,kg,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,FAI; India GHG Platform,TO_INGEST,Materially higher than SMR. Common in India and China.
pcf.chem.ammonia.naphtha_reforming,Ammonia — naphtha reforming,chemicals,naphtha_reforming,Naphtha reforming,kg,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,FAI,TO_INGEST,Legacy Indian capacity. Retain as separate route.
pcf.chem.ammonia.smr_ccs,Ammonia — SMR with CCS,chemicals,smr_ccs,SMR + carbon capture,kg,cradle_to_gate,subdivision,A,EPD International; IEA,,TO_INGEST,Capture rate must be recorded with the value.
pcf.chem.ammonia.electrolysis_re,Ammonia — electrolytic (renewable),chemicals,electrolysis_re,Electrolysis (renewable power),kg,cradle_to_gate,subdivision,A,IEA; peer-reviewed LCA,,TO_INGEST,Result is dominated by the power source; region is mandatory.
pcf.chem.urea.from_smr_ammonia,Urea — from SMR ammonia,chemicals,from_smr_ammonia,From SMR ammonia,kg,cradle_to_gate,stoichiometric,A,IFA; EPD International,FAI,TO_INGEST,CO2 embodied in urea is released on application; state the accounting convention.
pcf.chem.urea.from_coal_ammonia,Urea — from coal-route ammonia,chemicals,from_coal_ammonia,From coal-gasified ammonia,kg,cradle_to_gate,stoichiometric,A,Peer-reviewed LCA literature,FAI,TO_INGEST,Inherits the upstream ammonia route; do not average with SMR route.
pcf.chem.methanol.natural_gas,Methanol — natural gas,chemicals,natural_gas,Natural gas reforming,kg,cradle_to_gate,subdivision,A,EPD International; Methanol Institute,,TO_INGEST,
pcf.chem.methanol.coal,Methanol — coal,chemicals,coal,Coal gasification,kg,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,Substantially higher than gas route.
pcf.chem.methanol.biomass,Methanol — biomass,chemicals,biomass,Biomass gasification,kg,cradle_to_gate,subdivision,A,Peer-reviewed LCA literature,,TO_INGEST,Biogenic carbon must be reported separately on an energy basis.
