coefficient_id,what_it_is,applies_to,unit,status,primary_source,exact_reference,india_specific_source,validation_rule
ncv.coal.by_grade,Net calorific value of Indian non-coking coal by grade G1-G17,fuel.coal.indian_domestic,TJ/kt or kcal/kg,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.1 Table 1.2 (defaults),Ministry of Coal grade GCV bands; peer-reviewed India-specific NCV/CEF studies,"MUST be grade- or measurement-specific. Grade bands are on an EQUILIBRATED basis (60% RH, 40C) - not interchangeable with lab as-received values. Store the basis."
ncv.coal.imported,NCV of imported steam / coking coal,fuel.coal.*,TJ/kt,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.1 Table 1.2,UK Government GHG Conversion Factors (DESNZ) fuels table,"within +/-40% of prior-year value, else human review"
ncv.liquid_fuels,"NCV of diesel, petrol, FO, LDO, kerosene, naphtha, ATF, LPG",fuel.* / mobile.*,TJ/kt or MJ/L,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.1 Table 1.2,UK Government GHG Conversion Factors (DESNZ) fuels table; IS 1448 test methods,"within +/-40% of prior-year value, else human review"
ncv.gaseous_fuels,"NCV of natural gas, CNG, PNG, LNG, biogas, process gases",fuel.natural_gas etc,TJ/1000 m3 or MJ/scm,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.1 Table 1.2,City gas distributor invoice; DESNZ,State net or gross basis explicitly; ~10% difference for gas
ncv.biomass,"NCV of bagasse, rice husk, groundnut shell, briquettes, wood",fuel.biomass.*,TJ/kt,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.1 Table 1.2,Local lab / IS test methods,Moisture basis must be recorded; as-received vs dry changes this substantially
gcv_to_ncv.relationship,Published GCV to NCV relationship per fuel class,all energy-basis fuels,ratio,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.1 Section 1.4.1.2,Measured lab value preferred,"Store as a sourced coefficient, never a hardcoded rule of thumb"
density.diesel,Density of diesel / HSD,"fuel.diesel.*, mobile.diesel",kg/L,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Fuel properties table,IS 1448; supplier COA,Required for any L<->kg conversion. Conversion must RAISE without it.
density.petrol,Density of petrol / gasoline,mobile.petrol,kg/L,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Fuel properties table,IS 1448,"within +/-40% of prior-year value, else human review"
density.furnace_oil,Density of furnace oil / HFO,fuel.furnace_oil,kg/L,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Fuel properties table,IS 1593 / supplier COA,"within +/-40% of prior-year value, else human review"
density.lpg,Density of LPG,fuel.lpg.*,kg/L,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Fuel properties table,"Sold by mass in India, volume in UK",The single most common mass/volume trap in the catalogue
density.naphtha_kerosene_ldo,"Densities of naphtha, kerosene/SKO, LDO",fuel.*,kg/L,TO_INGEST,UK Government GHG Conversion Factors (DESNZ),Fuel properties table,IS 1448,"within +/-40% of prior-year value, else human review"
density.gas_reference,Reference conditions for scm vs Nm3,all gaseous fuels,K and kPa,TO_INGEST,ISO 13443 / national convention,Standard reference conditions,Indian city gas convention,scm and Nm3 differ ~5%; define both explicitly
cc.coal_by_category,Carbon content of coal by category,fuel.coal.*,kg C/GJ,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),"Vol.2 Ch.1 Table 1.3 (carbon content, kg C/GJ) and Table 1.4 (default CO2 EF, kg/TJ at OF=1)",Peer-reviewed revised India-specific CEFs by coal category,Tier 2 method REQUIRED for Indian coal
ef.stationary.co2,"CO2 emission factor, stationary combustion, all fuels",1.1 rows,kg CO2/TJ,TO_INGEST,IPCC 2006 Guidelines Vol.2 (Energy),Ch.2 Tables 2.2-2.5,UK Government GHG Conversion Factors (DESNZ) (physical basis alternative),"within +/-40% of prior-year value, else human review"
